Country,Substance,Code,Product Count
Kingdom of Sweden,Amlodipine besilate,100000090079,21
Kingdom of Sweden,Amlodipine,100000085259,21
Republic of Estonia,Amlodipine besilate,100000090079,22
Republic of Estonia,Amlodipine,100000085259,24
Hellenic Republic,Amlodipine besilate,100000090079,81
Hellenic Republic,Amlodipine,100000085259,1
Republic of Estonia,Enoxaparin sodium,100000090152,1
Republic of Estonia,Valsartan,100000088000,2
Republic of Estonia,Hydrochlorothiazide,100000091737,2
Republic of Estonia,CLOTRIMAZOLE,100000092074,2
Kingdom of Sweden,cefuroxime sodium,100000091436,1
Kingdom of Sweden,cefuroxime,100000092667,1
Republic of Estonia,CEFUROXIME SODIUM,100000091436,1
Republic of Estonia,CEFUROXIME,100000092667,1
Republic of Estonia,Paracetamol,100000090270,1
Republic of Estonia,Amlodipine maleate,100000089370,2
Republic of Estonia,Insulin glargine,100000085460,1
Republic of Finland,CLOTRIMAZOLE,100000092074,2
Republic of Estonia,AMOXICILLIN TRIHYDRATE,100000092629,1
Republic of Estonia,Amoxicillin,100000091596,1
Republic of Estonia,POTASSIUM CLAVULANATE,100000093061,1
Republic of Estonia,CLAVULANIC ACID,100000089842,1
Kingdom of Sweden,Paracetamol,100000090270,2
Kingdom of Sweden,Ethinylestradiol betadex clathrate,100000091531,1
Kingdom of Sweden,Ethinylestradiol,100000091721,1
Kingdom of Sweden,Lactose monohydrate,100000093305,1
Kingdom of Sweden,lactose,100000090052,1
Kingdom of Sweden,drospirenone,100000092375,2
United States of America,Amlodipine besilate,100000090079,734
United States of America,amlodpine,100000085259,733
Kingdom of Belgium,Simvastatin,100000091786,35
Kingdom of Belgium,simvastatine,100000091343,35
Hellenic Republic,Simvastatin,100000091786,132
Hellenic Republic,simvastatine,100000091786,132
Kingdom of Belgium,Amlodipine besilate,100000090079,33
Kingdom of Belgium,amlodipine,100000085259,40
Kingdom of Belgium,AMLODIPINE MALEATE,100000089370,7
Hellenic Republic,amlodipine,100000085259,86
Kingdom of Belgium,Ibuprofen,100000090365,55
Kingdom of Belgium,ibuprofen ,100000090365,44
Hellenic Republic,Carbamazepine,100000092127,4
Hellenic Republic,carbamazepine,100000092127,3
Hellenic Republic,AMLODIPINE MALEATE,100000089370,6
Hellenic Republic,Ibuprofen,100000090365,13
Kingdom of Belgium,Ibuprofen lysine,100000090111,3
Kingdom of Belgium,Carbamazepine,100000092127,4
Kingdom of Belgium,carbamezepine,100000092127,3
Hellenic Republic,ibuprofen ,100000090365,11
Kingdom of Belgium,Ibuprofen arginine,100000092228,2
Hellenic Republic,Ibuprofen sodium,100000085009,1
Italian Republic,Simvastatin,100000091786,101
Italian Republic,simvastatin,100000091786,101
Italian Republic,Amlodipine besilate,100000090079,78
Italian Republic,amlodpine,100000085259,80
Italian Republic,Ibuprofen arginine,100000092228,2
Italian Republic,ibuprofen,100000090365,32
Italian Republic,AMLODIPINE MALEATE,100000089370,2
Italian Republic,Carbamazepine,100000092127,7
Italian Republic,carbamazepine,100000092127,6
Italian Republic,Ibuprofen,100000090365,28
Italian Republic,Ibuprofen lysine,100000090111,2
United States of America,Carbamazepine,100000092127,278
United States of America,carbamazepine,100000092127,263
United States of America,Ibuprofen,100000090365,3563
United States of America,ibuprofen,100000090365,3174
United States of America,Simvastatin,100000091786,593
United States of America,simvastatin,100000091786,591
